Logement,Name,Type,Surface,Price,Lieu,Chambres,Pièces,Etage
Logement en résidence,UXCO Streamline,T3 de 52m²,52 m²,2060€,"73 Rue de Sevres, 92100 Boulogne-Billancourt, France",N/A,N/A,N/A
Logement en résidence,Résidence Pythagore Grande Arche,Studio de 18m² à 24m²,18-24 m²,"entre
990€
et
1200€","54 Avenue Puvis de Chavannes, 92400 Courbevoie, France",N/A,N/A,N/A
Logement en résidence,Résidence Pythagore Grande Arche,Studio avec balcon de 18m² à 21m²,18-21 m²,"entre
1040€
et
1200€","54 Avenue Puvis de Chavannes, 92400 Courbevoie, France",N/A,N/A,N/A
Logement en résidence,Résidence Pythagore Grande Arche,Studio Etage de 18m² à 21m²,18-21 m²,"entre
1010€
et
1170€","54 Avenue Puvis de Chavannes, 92400 Courbevoie, France",N/A,N/A,N/A
Logement en résidence,Résidence Pythagore Grande Arche,Studio balcon + etage de 18m² à 21m²,18-21 m²,"entre
1060€
et
1220€","54 Avenue Puvis de Chavannes, 92400 Courbevoie, France",N/A,N/A,N/A
Logement entier,Studio de 34m²,Logement entier,34 m²,N/A,"19 Rue de la Gaité, 75014 Paris, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 11 personnes de 280m²,Chambre 6 de 13m2,13 m²,1070€,"Rue Gaston Picard, 94200 Ivry-sur-Seine, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 11 personnes de 280m²,Chambre 4 de 13m2,13 m²,1070€,"Rue Gaston Picard, 94200 Ivry-sur-Seine, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 11 personnes de 280m²,Chambre 5 de 13m2,13 m²,1070€,"Rue Gaston Picard, 94200 Ivry-sur-Seine, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 11 personnes de 280m²,Chambre 1 de 13m2,13 m²,1100€,"Rue Gaston Picard, 94200 Ivry-sur-Seine, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 11 personnes de 280m²,Chambre 2 de 12m2,12 m²,1070€,"Rue Gaston Picard, 94200 Ivry-sur-Seine, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 11 personnes de 280m²,Chambre 3 de 13m2,13 m²,1070€,"Rue Gaston Picard, 94200 Ivry-sur-Seine, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 11 personnes de 280m²,Chambre 8 de 10m2,10 m²,1050€,"Rue Gaston Picard, 94200 Ivry-sur-Seine, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 11 personnes de 280m²,Chambre 9 de 11m2,11 m²,1050€,"Rue Gaston Picard, 94200 Ivry-sur-Seine, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 11 personnes de 280m²,Chambre 10 de 9m2,9 m²,950€,"Rue Gaston Picard, 94200 Ivry-sur-Seine, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 11 personnes de 280m²,Chambre 11 de 10m2,10 m²,990€,"Rue Gaston Picard, 94200 Ivry-sur-Seine, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 11 personnes de 280m²,Chambre 7 de 14m2,14 m²,1070€,"Rue Gaston Picard, 94200 Ivry-sur-Seine, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 89m²,Chambre 3 de 21m2,21 m²,1200€,"3 Rue de la Fidélité, 75010 Paris, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 89m²,Chambre 1 de 12m2,12 m²,1000€,"3 Rue de la Fidélité, 75010 Paris, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 89m²,Chambre 2 de 11m2,11 m²,1080€,"3 Rue de la Fidélité, 75010 Paris, France",N/A,N/A,N/A
Logement en colocation,Logement en colocation pour 4 personnes de 89m²,Chambre 4 de 11m2,11 m²,1030€,"3 Rue de la Fidélité, 75010 Paris, France",N/A,N/A,N/A
