Name,Surface,Price,Lieu,Chambres,Pièces,Etage,Code_postal,Arrondissement
Appartement à louer,350.0,19100,Paris 8ème (75008),7.0,9.0,4.0,75008,8.0
Appartement à louer,41.0,1800,"Dupleix-Motte Picquet, Paris 15ème (75015)",0.0,2.0,2.0,75015,15.0
Appartement à louer,252.0,8243,"Saint Philippe du Roule, Paris 8ème (75008)",4.0,6.0,,75008,8.0
Appartement à louer,134.2,7779,"Gros Caillou, Paris 7ème (75007)",3.0,5.0,6.0,75007,7.0
Appartement à louer,178.0,6500,"Legendre-Lévis, Paris 17ème (75017)",3.0,5.0,,75017,17.0
Appartement à louer,55.0,2500,"Bastille-Popincourt, Paris 11ème (75011)",1.0,2.0,3.0,75011,11.0
Appartement à louer,20.4,1200,"Enfants Rouges, Paris 3ème (75003)",0.0,1.0,,75003,3.0
Appartement à louer,29.5,1375,"Sainte Avoie, Paris 3ème (75003)",0.0,1.0,2.0,75003,3.0
Appartement à louer,35.2,1503,"Ecole Militaire, Paris 7ème (75007)",0.0,1.0,4.0,75007,7.0
Appartement à louer,110.0,6500,"Enfants Rouges, Paris 3ème (75003)",2.0,4.0,,75003,3.0
Appartement à louer,35.9,1650,"Lorette-Martyrs, Paris 9ème (75009)",1.0,2.0,4.0,75009,9.0
Appartement à louer,95.0,5500,"Emeriau-Zola, Paris 15ème (75015)",2.0,3.0,,75015,15.0
Appartement à louer,95.0,5500,"Emeriau-Zola, Paris 15ème (75015)",2.0,3.0,,75015,15.0
Appartement à louer,75.0,2290,"Nation-Picpus, Paris 12ème (75012)",2.0,3.0,4.0,75012,12.0
Appartement à louer,60.5,1838,"Alleray Procession, Paris 15ème (75015)",2.0,3.0,1.0,75015,15.0
Appartement à louer,45.0,1540,"Bel-Air Sud, Paris 12ème (75012)",1.0,2.0,,75012,12.0
Appartement à louer,50.0,1975,"Léon-Blum Folie-Regnault, Paris 8ème (75008)",1.0,2.0,,75008,8.0
Appartement à louer,58.4,2060,"Cambronne-Garibaldi, Paris 15ème (75015)",2.0,3.0,,75015,15.0
Appartement à louer,132.0,4500,"Chaillot, Paris 16ème (75116)",3.0,5.0,5.0,75116,16.0
Appartement à louer,60.4,2450,"Nation-Alexandre Dumas, Paris 11ème (75011)",1.0,2.0,2.0,75011,11.0
Appartement à louer,37.0,1900,"Ecole Militaire, Paris 7ème (75007)",1.0,2.0,6.0,75007,7.0
Appartement à louer,143.0,11000,"Emeriau-Zola, Paris 15ème (75015)",1.0,5.0,,75015,15.0
Appartement à louer,93.0,4000,"Raspail-Montparnasse, Paris 14ème (75014)",3.0,4.0,,75014,14.0
Appartement à louer,113.0,7000,"Emeriau-Zola, Paris 15ème (75015)",2.0,4.0,,75015,15.0
Duplex à louer,108.5,8000,"Île de la Cité, Paris 1er (75001)",2.0,3.0,1.0,75001,1.0
Appartement à louer,93.0,4000,"Raspail-Montparnasse, Paris 14ème (75014)",3.0,4.0,6.0,75014,14.0
Appartement à louer,15.2,948,"Vallée de Fécamp, Paris 12ème (75012)",0.0,1.0,,75012,12.0
Appartement à louer,61.4,3120,"Mairie, Paris 8ème (75008)",2.0,3.0,,75008,8.0
Appartement à louer,237.0,7150,"Vaugirard-Parc des Expositions, Paris 15ème (75015)",6.0,7.0,,75015,15.0
Maison à louer,237.0,7150,"Vaugirard-Parc des Expositions, Paris 15ème (75015)",6.0,7.0,,75015,15.0
Appartement à louer - Première occupation,52.1,2453,"Odéon, Paris 6ème (75006)",1.0,2.0,,75006,6.0
Appartement à louer,52.0,1950,"Raspail-Montparnasse, Paris 14ème (75014)",1.0,2.0,,75014,14.0
Appartement à louer,106.0,3800,"Saint Philippe du Roule, Paris 8ème (75008)",2.0,2.0,3.0,75008,8.0
Appartement à louer,43.0,1880,"Porte Saint Denis-Paradis, Paris 10ème (75010)",1.0,2.0,,75010,10.0
Appartement à louer,36.0,1300,"Georges Brassens, Paris 15ème (75015)",1.0,2.0,5.0,75015,15.0
Appartement à louer,30.0,1180,"Mouton Duvernet, Paris 14ème (75014)",1.0,2.0,,75014,14.0
Appartement à louer,34.0,1300,"Jardin des Plantes, Paris 5ème (75005)",1.0,2.0,,75005,5.0
Appartement à louer,41.0,1800,"Val de Grace, Paris 5ème (75005)",1.0,2.0,5.0,75005,5.0
Appartement à louer,30.0,1277,"Pernety, Paris 14ème (75014)",0.0,1.0,,75014,14.0
Appartement à louer,41.0,1950,"Monnaie, Paris 6ème (75006)",1.0,2.0,5.0,75006,6.0
Appartement à louer,20.0,1030,"Mairie, Paris 8ème (75008)",1.0,2.0,,75008,8.0
Appartement à louer,35.0,2300,"Saint Thomas d'Aquin, Paris 7ème (75007)",1.0,2.0,1.0,75007,7.0
Appartement à louer,17.2,930,"Nation-Alexandre Dumas, Paris 11ème (75011)",0.0,1.0,,75011,11.0
Appartement à louer,54.0,2400,"Emeriau-Zola, Paris 15ème (75015)",1.0,2.0,,75015,15.0
Appartement à louer,31.3,1290,"Georges Brassens, Paris 15ème (75015)",0.0,1.0,1.0,75015,15.0
Appartement à louer,176.5,6500,"Legendre-Lévis, Paris 17ème (75017)",3.0,5.0,,75017,17.0
Appartement à louer,43.0,1855,"Jardin des Plantes, Paris 5ème (75005)",1.0,2.0,,75005,5.0
Appartement à louer,54.0,2400,"Emeriau-Zola, Paris 15ème (75015)",1.0,2.0,,75015,15.0
