Name,Surface,Price,Lieu,Chambres,Pièces,Etage,Code_postal
Appartement à louer,15.0,730,"Louis Blanc-Aqueduc, Paris 10ème (75010)",0.0,1.0,6,75010
Duplex à louer,36.2,1118,"Bassin de la Villette, Paris 19ème (75019)",1.0,2.0,2,75019
Duplex à louer,36.2,1118,"Bassin de la Villette, Paris 19ème (75019)",1.0,2.0,2,75019
Appartement à louer,70.0,950,"Georges Brassens, Paris 15ème (75015)",4.0,4.0,2,75015
Appartement à louer,24.0,895,"Belleville-Saint Maur, Paris 11ème (75011)",0.0,1.0,2,75011
Appartement à louer,27.2,890,"Amiraux-Simplon-Poissonniers, Paris 18ème (75018)",1.0,2.0,3,75018
Appartement à louer,36.0,1155,"Plaine, Paris 20ème (75020)",1.0,2.0,1,75020
Appartement à louer,28.0,1108,"Télégraphe-Pelleport Saint Fargeau, Paris 20ème (75020)",1.0,2.0,3,75020
Appartement à louer - logement étudiant,11.0,700,"Belleville-Saint Maur, Paris 11ème (75011)",0.0,1.0,3,75011
Appartement à louer,23.0,934,"Bassin de la Villette, Paris 19ème (75019)",0.0,1.0,7,75019
Appartement à louer,26.7,1021,"Pernety, Paris 14ème (75014)",0.0,1.0,3,75014
Appartement à louer,21.0,900,"Goutte d'Or-Château Rouge, Paris (75018)",0.0,1.0,3,75018
Appartement à louer,28.7,1079,"Jardin de Reuilly, Paris 12ème (75012)",1.0,2.0,6,75012
Appartement à louer,20.0,1110,"Bas Belleville, Paris 19ème (75019)",0.0,1.0,2,75019
Appartement à louer,14.0,1090,"Arts et Métiers, Paris 3ème (75003)",0.0,1.0,9,75003
Appartement à louer,16.0,616,"Belleville-Saint Maur, Paris 11ème (75011)",0.0,1.0,7,75011
Studio à louer,13.0,922,"Clichy-Trinité, Paris 9ème (75009)",0.0,1.0,5,75009
Studio à louer,17.0,910,"Bel-Air Sud, Paris 12ème (75012)",0.0,1.0,1,75012
Appartement à louer,25.0,943,"République-Saint Ambroise, Paris 11ème (75011)",0.0,1.0,2,75011
Appartement à louer,24.4,1190,"Pernety, Paris 14ème (75014)",1.0,2.0,3,75014
Appartement à louer,23.0,1200,"Porte Dauphine, Paris 16ème (75016)",0.0,1.0,1,75016
Appartement à louer,12.0,723,"Léon-Blum Folie-Regnault, Paris 11ème (75011)",0.0,1.0,2,75011
Appartement à louer,39.8,1122,"Louis Blanc-Aqueduc, Paris 10ème (75010)",1.0,2.0,2,75010
Appartement à louer,31.2,1050,"Bièvres Sud Tolbiac, Paris 13ème (75013)",0.0,1.0,2,75013
Appartement à louer,20.0,740,"Télégraphe-Pelleport Saint Fargeau, Paris 20ème (75020)",0.0,1.0,15,75020
Studio à louer,15.0,900,"Croulebarbe, Paris 13ème (75013)",0.0,1.0,2,75013
Appartement à louer - logement étudiant,14.0,752,"Louis Blanc-Aqueduc, Paris 10ème (75010)",0.0,1.0,4,75010
Appartement à louer,25.5,1047,"Auteuil Sud, Paris 16ème (75016)",0.0,1.0,3,75016
Appartement à louer,35.0,1138,"Montmartre, Paris 18ème (75018)",1.0,2.0,2,75018
Appartement à louer - Première occupation,25.0,1020,"Dupleix-Motte Picquet, Paris 15ème (75015)",0.0,1.0,2,75015
Studio à louer - logement étudiant,19.0,886,"La Chapelle-Marx Dormoy, Paris 18ème (75018)",0.0,1.0,2,75018
Appartement à louer,35.4,1130,"Clignancourt-Jules Joffrin, Paris 18ème (75018)",0.0,1.0,6,75018
Appartement à louer,50.0,1110,"Trudaine-Maubeuge, Paris 9ème (75009)",3.0,3.0,2,75009
Appartement à louer,30.5,1080,"Montmartre, Paris 18ème (75018)",1.0,2.0,2,75018
