Name,Surface,Price,Lieu,Chambres,Pièces,Etage
,,,,,,
,,,,N/A,,
,,,,N/A,,
,,,,,,
,,,,N/A,,
,,,,,,
,,,,,,
,,,,,,
,,,,N/A,,
,,,,,,
,,,,,,
,,,,,,
,,,,N/A,,
Appartement à louer,132 m²,4 500 € /mois,"Chaillot, Paris 16ème (75116)",3 chambres,5 pièces,5ème étage
Appartement à louer,"60,4 m²",2 450 € /mois,"Nation-Alexandre Dumas, Paris 11ème (75011)",1 chambre,2 pièces,2ème étage
Appartement à louer,37 m²,1 900 € /mois,"Ecole Militaire, Paris 7ème (75007)",1 chambre,2 pièces,6ème étage
Appartement à louer,143 m²,11 000 € /mois,"Emeriau-Zola, Paris 15ème (75015)",1 chambre,5 pièces,N/A
Appartement à louer,93 m²,4 000 € /mois,"Raspail-Montparnasse, Paris 14ème (75014)",3 chambres,4 pièces,N/A
Appartement à louer,113 m²,7 000 € /mois,"Emeriau-Zola, Paris 15ème (75015)",2 chambres,4 pièces,N/A
Duplex à louer,"108,5 m²",8 000 € /mois,"Île de la Cité, Paris 1er (75001)",2 chambres,3 pièces,1er étage
Appartement à louer,93 m²,4 000 € /mois,"Raspail-Montparnasse, Paris 14ème (75014)",3 chambres,4 pièces,6ème étage
Appartement à louer,"15,2 m²",948 € /mois,"Vallée de Fécamp, Paris 12ème (75012)",N/A,1 pièce,N/A
Appartement à louer,"61,4 m²",3 120 € /mois,"Mairie, Paris 8ème (75008)",2 chambres,3 pièces,
Appartement à louer,237 m²,7 150 € /mois,"Vaugirard-Parc des Expositions, Paris 15ème (75015)",6 chambres,7 pièces,RDC
Maison à louer,237 m²,7 150 € /mois,"Vaugirard-Parc des Expositions, Paris 15ème (75015)",6 chambres,7 pièces,N/A
Appartement à louer - Première occupation,"52,1 m²",2 453 € /mois,"Odéon, Paris 6ème (75006)",1 chambre,2 pièces,N/A
Appartement à louer,52 m²,1 950 € /mois,"Raspail-Montparnasse, Paris 14ème (75014)",1 chambre,2 pièces,
Appartement à louer,106 m²,3 800 € /mois,"Saint Philippe du Roule, Paris 8ème (75008)",2 chambres,2 pièces,3ème étage
Appartement à louer,43 m²,1 880 € /mois,"Porte Saint Denis-Paradis, Paris 10ème (75010)",1 chambre,2 pièces,
Appartement à louer,36 m²,1 300 € /mois,"Georges Brassens, Paris 15ème (75015)",1 chambre,2 pièces,RDC/5
Appartement à louer,30 m²,1 180 € /mois,"Mouton Duvernet, Paris 14ème (75014)",1 chambre,2 pièces,N/A
Appartement à louer,34 m²,1 300 € /mois,"Jardin des Plantes, Paris 5ème (75005)",1 chambre,2 pièces,
Appartement à louer,41 m²,1 800 € /mois,"Val de Grace, Paris 5ème (75005)",1 chambre,2 pièces,5ème étage
Appartement à louer,30 m²,1 277 € /mois,"Pernety, Paris 14ème (75014)",N/A,1 pièce,N/A
Appartement à louer,41 m²,1 950 € /mois,"Monnaie, Paris 6ème (75006)",1 chambre,2 pièces,5ème étage
Appartement à louer,20 m²,1 030 € /mois,"Mairie, Paris 8ème (75008)",1 chambre,2 pièces,
Appartement à louer,35 m²,2 300 € /mois,"Saint Thomas d'Aquin, Paris 7ème (75007)",1 chambre,2 pièces,1er étage
Appartement à louer,"17,2 m²",930 € /mois,"Nation-Alexandre Dumas, Paris 11ème (75011)",N/A,1 pièce,N/A
Appartement à louer,54 m²,2 400 € /mois,"Emeriau-Zola, Paris 15ème (75015)",1 chambre,2 pièces,N/A
Appartement à louer,"31,3 m²",1 290 € /mois,"Georges Brassens, Paris 15ème (75015)",N/A,1 pièce,1er étage
Appartement à louer,"176,5 m²",6 500 € /mois,"Legendre-Lévis, Paris 17ème (75017)",3 chambres,5 pièces,
Appartement à louer,43 m²,1 855 € /mois,"Jardin des Plantes, Paris 5ème (75005)",1 chambre,2 pièces,N/A
Appartement à louer,54 m²,2 400 € /mois,"Emeriau-Zola, Paris 15ème (75015)",1 chambre,2 pièces,N/A
Appartement à louer,25 m²,1 193 € /mois,"Vivienne-Gaillon, Paris 2ème (75002)",1 chambre,2 pièces,
Duplex à louer,"127,3 m²",4 380 € /mois,Paris 12ème (75012),4 chambres,5 pièces,3ème étage
Appartement à louer,94 m²,2 890 € /mois,"Auteuil Sud, Paris 16ème (75016)",2 chambres,3 pièces,5ème étage
Appartement à louer,11 m²,629 € /mois,"Saint Placide, Paris 6ème (75006)",N/A,1 pièce,7ème étage
Appartement à louer,"82,8 m²",4 700 € /mois,"Triangle d'Or, Paris 8ème (75008)",2 chambres,3 pièces,N/A
Studio à louer,15 m²,850 € /mois,"Les Halles, Paris 1er (75001)",N/A,1 pièce,
Appartement à louer,"60,8 m²",1 900 € /mois,"Muette Nord, Paris 16ème (75016)",1 chambre,2 pièces,5ème étage
Appartement à louer,"245,7 m²",11 000 € /mois,"Chaillot, Paris 16ème (75016)",4 chambres,7 pièces,3ème étage
Appartement à louer,75 m²,3 300 € /mois,"Emeriau-Zola, Paris 15ème (75015)",2 chambres,3 pièces,
Appartement à louer,26 m²,1 185 € /mois,"Mairie, Paris 8ème (75008)",1 chambre,2 pièces,RDC/6
Appartement à louer,"159,1 m²",9 000 € /mois,Paris 17ème (75017),3 chambres,4 pièces,3ème étage
Appartement à louer,"34,5 m²",1 650 € /mois,"Île de la Cité, Paris 4ème (75004)",1 chambre,2 pièces,N/A
Appartement à louer,"100,5 m²",3 205 € /mois,"Mairie, Paris 8ème (75008)",2 chambres,4 pièces,N/A
Appartement à louer,32 m²,1 205 € /mois,"La Fourche-Guy Môquet, Paris 17ème (75017)",1 chambre,2 pièces,
Appartement à louer,35 m²,1 269 € /mois,"Violet Commerce, Paris 15ème (75015)",1 chambre,2 pièces,
Appartement à louer,68 m²,2 795 € /mois,"Gros Caillou, Paris 7ème (75007)",2 chambres,3 pièces,
Appartement à louer,120 m²,7 500 € /mois,"Saint Merri, Paris 4ème (75004)",3 chambres,5 pièces,N/A
Appartement à louer,"99,9 m²",3 650 € /mois,"Saint Lambert, Paris 15ème (75015)",3 chambres,5 pièces,
Appartement à louer,"122,2 m²",4 900 € /mois,"Chaillot, Paris 16ème (75116)",3 chambres,5 pièces,6ème étage
Appartement à louer,"128,5 m²",4 500 € /mois,"Mouton Duvernet, Paris 14ème (75014)",3 chambres,5 pièces,4ème étage
Appartement à louer,151 m²,6 200 € /mois,"Muette Nord, Paris 16ème (75016)",3 chambres,4 pièces,N/A
Appartement à louer,"159,2 m²",5 200 € /mois,"Pereire-Malesherbes, Paris 17ème (75017)",3 chambres,5 pièces,3ème étage
Appartement à louer,"43,6 m²",1 480 € /mois,"Clignancourt-Jules Joffrin, Paris 18ème (75018)",1 chambre,2 pièces,6ème étage
Appartement à louer,22 m²,1 050 € /mois,Paris 17ème (75017),N/A,1 pièce,
Appartement à louer,"65,1 m²",3 500 € /mois,"Saint Merri, Paris 4ème (75004)",2 chambres,3 pièces,2ème étage
Appartement à louer - Première occupation,193 m²,16 000 € /mois,"Courcelles-Wagram, Paris 17ème (75017)",3 chambres,6 pièces,
Appartement à louer,298 m²,12 000 € /mois,"Porte Dauphine, Paris 16ème (75016)",5 chambres,7 pièces,4ème étage
Hôtel particulier à louer,"270,3 m²",11 000 € /mois,"Hoche-Friedland, Paris 8ème (75008)",4 chambres,7 pièces,N/A
Appartement à louer,42 m²,1 365 € /mois,"Jean Moulin-Porte d'Orléans, Paris 14ème (75014)",1 chambre,2 pièces,
